Device name;OS;OS version;Last check-in;Category;Model;Serial number;DATE D'entree
PSN-21305522522450;Android (Dedicated);14;2026-07-02 12:40:23.0000000;SN - Entrepôt Thiaroye;TC57;21305522522450;05 juin 2026
PSN-25344524209248;Android (Dedicated);15;2026-07-03 14:29:47.0000000;SN - GRAND MBAO;TC53E;25344524209248;05 juin 2026
PSN-25349524215578;Android (Dedicated);15;2026-06-23 18:17:07.0000000;SN - POINT E2;TC53E;25349524215578;05 juin 2026
PSN-25349524215624;Android (Dedicated);15;2026-07-02 18:08:53.3310000;SN - TOTAL NGOR;TC53E;25349524215624;05 juin 2026
PSN-25350524205623;Android (Dedicated);15;2026-07-07 12:21:15.3670000;SN - YOFF;TC53E;25350524205623;05 juin 2026
PSN-25350524205737;Android (Dedicated);15;2026-06-30 14:00:14.0000000;SN - LIBERTE 6;TC53E;25350524205737;05 juin 2026
PSN-25350524205753;Android (Dedicated);15;2026-07-06 14:27:08.8210000;SN - MBACKE;TC53E;25350524205753;05 juin 2026
PSN-25350524205768;Android (Dedicated);15;2026-07-07 01:04:28.6160000;SN - RUFISQUE NORD;TC53E;25350524205768;05 juin 2026
PSN-25350524205772;Android (Dedicated);15;2026-07-07 12:28:57.8870000;SN - SACRE-COEUR;TC53E;25350524205772;05 juin 2026
PSN-25350524205779;Android (Dedicated);15;2026-07-01 20:12:16.0000000;SN - INEXTENSO PORT;TC53E;25350524205779;05 juin 2026
PSN-25350524205792;Android (Dedicated);15;2026-07-07 12:14:14.5290000;SN - THIES I;TC53E;25350524205792;05 juin 2026
PSN-25350524205940;Android (Dedicated);15;2026-07-04 17:01:14.0000000;SN - THIES II;TC53E;25350524205940;05 juin 2026
PSN-25350524205946;Android (Dedicated);15;2026-06-23 20:30:59.0000000;SN - POINT E2;TC53E;25350524205946;05 juin 2026
PSN-25350524205950;Android (Dedicated);15;2026-07-04 11:41:37.0000000;SN - MERMOZ 2;TC53E;25350524205950;05 juin 2026
PSN-25350524205974;Android (Dedicated);15;2026-07-07 06:41:46.1230000;SN - SAINT LOUIS;TC53E;25350524205974;05 juin 2026
PSN-25350524206002;Android (Dedicated);15;2026-07-07 12:11:30.3250000;SN - MBOUR;TC53E;25350524206002;05 juin 2026
PSN-25350524206029;Android (Dedicated);15;2026-07-07 12:00:51.7010000;SN - HYPER MERMOZ;TC53E;25350524206029;05 juin 2026
PSN-25350524206042;Android (Dedicated);15;2026-06-19 19:35:09.0000000;SN - GIBRALTAR;TC53E;25350524206042;05 juin 2026
PSN-25350524206059;Android (Dedicated);15;2026-06-19 20:37:18.0000000;SN - PLATEAU;TC53E;25350524206059;05 juin 2026
PSN-25350524206069;Android (Dedicated);15;2026-07-07 03:26:35.8270000;SN - YOFF;TC53E;25350524206069;05 juin 2026
PSN-25350524206099;Android (Dedicated);15;2026-07-07 12:12:29.5670000;SN - MAIRIE;TC53E;25350524206099;05 juin 2026
PSN-25350524206101;Android (Dedicated);15;2026-07-04 13:44:59.0000000;SN - POINT E1;TC53E;25350524206101;05 juin 2026
PSN-25350524206103;Android (Dedicated);15;2026-07-04 00:09:31.0000000;SN - ZAC MBAO;TC53E;25350524206103;05 juin 2026
PSN-25350524206135;Android (Dedicated);15;2026-07-07 11:43:20.4090000;SN - SALY MARKET;TC53E;25350524206135;05 juin 2026
PSN-25350524206137;Android (Dedicated);15;2026-07-07 11:10:32.3910000;SN - SALY MARKET;TC53E;25350524206137;05 juin 2026
PSN-25350524206139;Android (Dedicated);15;2026-07-05 04:26:35.0000000;SN - TOTAL SOUMBEDIOUNE;TC53E;25350524206139;05 juin 2026
PSN-25350524206151;Android (Dedicated);15;2026-06-23 20:33:50.0000000;SN - PLATEAU;TC53E;25350524206151;05 juin 2026
PSN-25350524206154;Android (Dedicated);15;2026-07-06 18:07:51.0290000;;TC53E;25350524206154;05 juin 2026
PSN-25350524206155;Android (Dedicated);15;2026-06-24 02:31:36.0000000;SN - GIBRALTAR;TC53E;25350524206155;05 juin 2026
PSN-25350524206162;Android (Dedicated);15;2026-07-02 14:27:15.0000000;SN - KEUR GORGUI;TC53E;25350524206162;05 juin 2026
PSN-25350524206164;Android (Dedicated);15;2026-07-07 10:58:05.2910000;SN - THIES II;TC53E;25350524206164;05 juin 2026
PSN-25350524206167;Android (Dedicated);15;2026-07-02 13:41:05.0000000;SN - ZIGUINCHOR;TC53E;25350524206167;05 juin 2026
PSN-25350524206180;Android (Dedicated);15;2026-06-23 20:14:45.0000000;SN - GIBRALTAR;TC53E;25350524206180;05 juin 2026
PSN-25350524206181;Android (Dedicated);15;2026-07-03 12:36:54.0000000;SN - MAIRIE;TC53E;25350524206181;05 juin 2026
PSN-25350524206191;Android (Dedicated);15;2026-07-05 15:17:19.0000000;SN - CASTORS;TC53E;25350524206191;05 juin 2026
PSN-25350524206215;Android (Dedicated);15;2026-07-07 00:52:27.9320000;SN - SAINT LOUIS;TC53E;25350524206215;05 juin 2026
PSN-25350524206216;Android (Dedicated);15;2026-06-24 02:32:29.0000000;SN - TIVAOUANE;TC53E;25350524206216;05 juin 2026
PSN-25350524206221;Android (Dedicated);15;2026-07-07 12:03:24.2680000;SN - MBOUR;TC53E;25350524206221;05 juin 2026
PSN-25350524206226;Android (Dedicated);15;2026-06-23 20:35:23.0000000;SN - PLATEAU;TC53E;25350524206226;05 juin 2026
PSN-25350524206228;Android (Dedicated);15;2026-07-05 06:45:14.0000000;SN - KEUR MASSAR;TC53E;25350524206228;05 juin 2026
PSN-25350524206229;Android (Dedicated);15;2026-06-24 14:37:26.0000000;SN - FANN RESIDENCE;TC53E;25350524206229;05 juin 2026
PSN-25350524206235;Android (Dedicated);15;2026-06-24 03:30:22.0000000;SN - GRAND MBAO;TC53E;25350524206235;05 juin 2026
PSN-25350524206246;Android (Dedicated);15;2026-07-05 22:42:53.0000000;SN - MBOUR 2;TC53E;25350524206246;05 juin 2026
PSN-25350524206247;Android (Dedicated);15;2026-07-07 06:49:58.3020000;SN - YOFF;TC53E;25350524206247;05 juin 2026
PSN-25350524214859;Android (Dedicated);15;2026-07-04 20:54:34.5840000;SN - Virage;TC53E;25350524214859;05 juin 2026
PSN-25350524214870;Android (Dedicated);15;2026-07-04 05:55:50.0000000;SN - KEUR MASSAR;TC53E;25350524214870;05 juin 2026
PSN-25350524214888;Android (Dedicated);15;2026-07-07 09:16:58.4660000;SN - Virage;TC53E;25350524214888;05 juin 2026
PSN-25350524214909;Android (Dedicated);15;2026-07-01 15:13:51.0000000;SN - TOTAL SOUMBEDIOUNE;TC53E;25350524214909;05 juin 2026
PSN-25350524214930;Android (Dedicated);15;2026-07-02 12:23:03.0000000;SN - GRAND MBAO;TC53E;25350524214930;05 juin 2026
PSN-25350524214935;Android (Dedicated);15;2026-07-07 01:07:47.3800000;SN - DALIFORT;TC53E;25350524214935;05 juin 2026
PSN-25350524214936;Android (Dedicated);15;2026-07-06 18:42:21.1960000;SN - ALMADIES;TC53E;25350524214936;05 juin 2026
PSN-25350524214937;Android (Dedicated);15;2026-06-19 19:52:30.0000000;SN - FANN RESIDENCE;TC53E;25350524214937;05 juin 2026
PSN-25350524214940;Android (Dedicated);15;2026-07-07 07:37:37.8070000;SN - TOTAL NGOR;TC53E;25350524214940;05 juin 2026
PSN-25350524214948;Android (Dedicated);15;2026-07-07 11:29:51.8540000;SN - MBACKE;TC53E;25350524214948;05 juin 2026
PSN-25350524214961;Android (Dedicated);15;2026-07-07 12:00:50.2490000;SN - SCAT URBAM 1;TC53E;25350524214961;05 juin 2026
PSN-25350524214974;Android (Dedicated);15;2026-07-07 11:48:40.0020000;SN - SALY CENTER;TC53E;25350524214974;05 juin 2026
PSN-25350524215013;Android (Dedicated);15;2026-07-07 05:00:29.1610000;SN - THIES I;TC53E;25350524215013;05 juin 2026
PSN-25350524215043;Android (Dedicated);15;2026-07-07 02:08:40.9650000;SN - SAINT LOUIS;TC53E;25350524215043;05 juin 2026
PSN-25350524215046;Android (Dedicated);15;2026-07-05 20:58:37.0000000;SN - MARISTES;TC53E;25350524215046;05 juin 2026
PSN-25352524212654;Android (Dedicated);15;2026-07-07 12:55:17.9620000;SN - KAOLACK;TC53E;25352524212654;05 juin 2026
PSN-25352524212655;Android (Dedicated);15;2026-07-07 09:28:03.9760000;SN - Entrepôt Thiaroye;TC53E;25352524212655;05 juin 2026
PSN-25352524212657;Android (Dedicated);13;2026-07-07 09:32:24.1310000;SN - Entrepôt Thiaroye;TC53E;25352524212657;05 juin 2026
PSN-25352524212660;Android (Dedicated);15;2026-07-07 11:12:29.4010000;SN - THIES I;TC53E;25352524212660;05 juin 2026
PSN-25352524212661;Android (Dedicated);15;2026-07-07 09:48:37.6790000;;TC53E;25352524212661;05 juin 2026
PSN-25352524212664;Android (Dedicated);15;2026-07-07 12:10:30.0390000;SN - Entrepôt Thiaroye;TC53E;25352524212664;05 juin 2026
PSN-25352524212665;Android (Dedicated);15;2026-07-07 07:25:19.9560000;SN - MERMOZ 2;TC53E;25352524212665;05 juin 2026
PSN-25352524212666;Android (Dedicated);15;2026-07-06 21:42:18.3490000;SN - Entrepôt Thiaroye;TC53E;25352524212666;05 juin 2026
PSN-25352524212671;Android (Dedicated);15;2026-07-07 08:02:11.9640000;SN - HYPER MERMOZ;TC53E;25352524212671;05 juin 2026
PSN-25352524212675;Android (Dedicated);15;2026-07-07 10:01:41.4900000;SN - SALY MARKET;TC53E;25352524212675;05 juin 2026
PSN-25352524212677;Android (Dedicated);15;2026-07-07 09:56:19.4000000;SN - Entrepôt Thiaroye;TC53E;25352524212677;05 juin 2026
PSN-25352524212679;Android (Dedicated);15;2026-07-01 14:08:38.1200000;SN - LIBERTE 6;TC53E;25352524212679;05 juin 2026
PSN-25352524212681;Android (Dedicated);15;2026-07-07 11:09:48.3080000;SN - Entrepôt Thiaroye;TC53E;25352524212681;05 juin 2026
PSN-25352524212682;Android (Dedicated);15;2026-07-07 07:19:32.9450000;SN - Entrepôt Thiaroye;TC53E;25352524212682;05 juin 2026
PSN-25352524212685;Android (Dedicated);15;2026-07-06 20:00:02.8510000;SN - Entrepôt Thiaroye;TC53E;25352524212685;05 juin 2026
PSN-25352524212686;Android (Dedicated);15;2026-07-07 08:37:10.6780000;SN - Entrepôt Thiaroye;TC53E;25352524212686;05 juin 2026
PSN-25352524212688;Android (Dedicated);15;2026-07-07 08:00:15.2960000;SN - Entrepôt Thiaroye;TC53E;25352524212688;05 juin 2026
PSN-25352524212691;Android (Dedicated);15;2026-07-07 07:57:36.7800000;SN - Entrepôt Thiaroye;TC53E;25352524212691;05 juin 2026
PSN-25352524212692;Android (Dedicated);15;2026-07-02 16:33:06.0000000;SN - TOTAL LIBERTE 6;TC53E;25352524212692;05 juin 2026
PSN-25352524212696;Android (Dedicated);15;2026-07-07 10:39:22.9670000;SN - Entrepôt Thiaroye;TC53E;25352524212696;05 juin 2026
PSN-25352524212697;Android (Dedicated);15;2026-07-07 12:41:01.1970000;SN - KAOLACK;TC53E;25352524212697;05 juin 2026
PSN-25352524212702;Android (Dedicated);15;2026-07-07 11:46:30.5000000;SN - Entrepôt Thiaroye;TC53E;25352524212702;05 juin 2026
PSN-25352524212708;Android (Dedicated);15;2026-07-07 09:35:12.4090000;SN - Entrepôt Thiaroye;TC53E;25352524212708;05 juin 2026
PSN-25352524212710;Android (Dedicated);15;2026-07-07 06:52:22.7220000;;TC53E;25352524212710;05 juin 2026
PSN-25352524212712;Android (Dedicated);15;2026-07-07 06:58:13.0330000;;TC53E;25352524212712;05 juin 2026
PSN-25352524212713;Android (Dedicated);15;2026-07-07 05:30:41.0150000;SN - DALIFORT;TC53E;25352524212713;05 juin 2026
PSN-25352524212714;Android (Dedicated);15;2026-07-07 08:01:30.2830000;SN - Entrepôt Thiaroye;TC53E;25352524212714;05 juin 2026
PSN-25352524212717;Android (Dedicated);15;2026-07-07 10:41:14.5140000;SN - Entrepôt Thiaroye;TC53E;25352524212717;05 juin 2026
PSN-25352524212720;Android (Dedicated);15;2026-07-02 14:13:45.0000000;SN - OUAKAM RENAISSANCE;TC53E;25352524212720;05 juin 2026
PSN-25352524212724;Android (Dedicated);15;2026-07-07 08:38:44.6610000;SN - Entrepôt Thiaroye;TC53E;25352524212724;
PSN-25352524212725;Android (Dedicated);15;2026-07-07 06:03:48.4820000;SN - Entrepôt Thiaroye;TC53E;25352524212725;05 juin 2026
PSN-25352524212726;Android (Dedicated);15;2026-07-06 22:44:52.0010000;SN - Entrepôt Thiaroye;TC53E;25352524212726;05 juin 2026
PSN-25352524212727;Android (Dedicated);15;2026-07-07 10:08:37.2550000;SN - Entrepôt Thiaroye;TC53E;25352524212727;05 juin 2026
PSN-25352524212728;Android (Dedicated);15;2026-07-04 14:34:05.0000000;SN - DIAMNIADIO;TC53E;25352524212728;05 juin 2026
PSN-25352524212733;Android (Dedicated);15;2026-06-30 14:12:25.0000000;SN - SALY CENTER;TC53E;25352524212733;05 juin 2026
PSN-25352524212734;Android (Dedicated);15;2026-07-07 10:38:24.0140000;SN - Entrepôt Thiaroye;TC53E;25352524212734;05 juin 2026
PSN-25352524212735;Android (Dedicated);15;2026-07-07 09:21:27.5110000;SN - Entrepôt Thiaroye;TC53E;25352524212735;05 juin 2026
PSN-25352524212738;Android (Dedicated);15;2026-07-07 07:23:26.1090000;SN - Entrepôt Thiaroye;TC53E;25352524212738;05 juin 2026
PSN-25352524212739;Android (Dedicated);15;2026-07-07 08:36:00.8550000;SN - Entrepôt Thiaroye;TC53E;25352524212739;05 juin 2026
PSN-25352524212743;Android (Dedicated);15;2026-07-03 10:12:52.0000000;SN - INEXTENSO POINT E;TC53E;25352524212743;05 juin 2026
PSN-25352524212744;Android (Dedicated);15;2026-07-07 10:17:41.5500000;;TC53E;25352524212744;05 juin 2026
PSN-25352524212745;Android (Dedicated);15;2026-07-07 08:56:52.2770000;SN - Entrepôt Thiaroye;TC53E;25352524212745;05 juin 2026
PSN-25352524212748;Android (Dedicated);15;2026-07-07 11:09:18.6750000;SN - THIES I;TC53E;25352524212748;05 juin 2026
